payment_id,ride_id,mode,amount,status,tip_amount
P000087,R000087,UPI,82.72,Success,0
P000088,R000088,UPI,69.36,Success,5
P000089,R000089,UPI,44.46,Success,10
P000090,R000090,Card,52.58,Success,0
P000091,R000091,Card,34.28,Success,0
P000092,R000092,UPI,160.36,Failed,0
P000093,R000093,Wallet,132.52,Success,0
P000094,R000094,Card,68.92,Success,0
P000095,R000095,UPI,41.4,Success,10
P000096,R000096,UPI,50.38,Failed,5
P000097,R000097,UPI,111.04,Success,0
P000098,R000098,UPI,42.16,Success,5
P000099,R000099,UPI,65.76,Success,5
P000100,R000100,UPI,136.2,Success,0
P000101,R000101,UPI,48.46,Success,5
P000102,R000102,UPI,32.92,Success,0
P000103,R000103,UPI,65.72,Success,0
P000104,R000104,UPI,103.6,Pending,5
P000105,R000105,Card,139.8,Success,5
P000106,R000106,Card,40.26,Success,10
P000107,R000107,UPI,73.08,Success,10
P000108,R000108,UPI,77.32,Success,0
P000109,R000109,UPI,130.12,Success,0
P000110,R000110,Wallet,89.68,Success,5
P000111,R000111,UPI,74.24,Success,10
P000112,R000112,UPI,35.78,Success,0
P000113,R000113,Card,111.8,Success,0
P000114,R000114,Card,89.76,Success,5
P000115,R000115,Card,117.56,Success,0
P000116,R000116,Card,48.84,Success,0
P000117,R000117,Card,60.96,Success,0
P000118,R000118,Cash,138.72,Success,5
P000119,R000119,UPI,83.52,Success,5
P000120,R000120,UPI,42.2,Success,0
P000121,R000121,Card,98.04,Success,0
P000122,R000122,UPI,106.8,Success,0
P000123,R000123,UPI,141.96,Success,20
P000124,R000124,UPI,72.52,Success,0
P000125,R000125,Card,35.18,Success,0
P000126,R000126,UPI,68.12,Success,0
P000127,R000127,UPI,92.56,Success,0
P000128,R000128,UPI,84.92,Success,0
P000129,R000129,Wallet,69.72,Success,0
P000130,R000130,Card,61.4,Success,0
P000131,R000131,Cash,58.54,Success,20
P000132,R000132,UPI,54.46,Success,0
P000133,R000133,UPI,97.8,Success,0
P000134,R000134,Card,63.32,Success,0
P000135,R000135,UPI,53.0,Success,0
P000136,R000136,UPI,40.52,Success,0
P000137,R000137,UPI,53.44,Pending,0
P000138,R000138,Wallet,42.72,Success,5
P000139,R000139,UPI,178.92,Success,0
P000140,R000140,Card,102.88,Success,0
P000141,R000141,UPI,48.24,Success,5
P000142,R000142,UPI,122.52,Success,0
P000143,R000143,Wallet,239.56,Success,0
P000144,R000144,Cash,62.08,Success,0
P000145,R000145,Card,143.08,Success,0
P000146,R000146,Cash,80.48,Success,10
P000147,R000147,Card,81.68,Success,0
P000148,R000148,UPI,51.24,Success,0
P000149,R000149,UPI,89.36,Success,0
P000150,R000150,UPI,60.96,Success,5
P000151,R000151,UPI,122.08,Success,0
P000152,R000152,Card,32.14,Success,5
P000153,R000153,UPI,171.08,Success,10
P000154,R000154,UPI,124.72,Success,0
P000155,R000155,UPI,100.2,Success,5
P000156,R000156,UPI,79.24,Success,0
P000157,R000157,UPI,27.2,Success,0
P000158,R000158,Cash,45.74,Success,5
P000159,R000159,Card,385.84,Success,0
P000160,R000160,Card,315.64,Success,0
P000161,R000161,UPI,69.64,Success,0
P000162,R000162,UPI,57.28,Success,0
P000163,R000163,UPI,155.08,Success,0
P000164,R000164,UPI,72.52,Success,0
P000165,R000165,UPI,119.8,Success,0
P000166,R000166,Cash,48.76,Success,0
P000167,R000167,UPI,66.72,Success,5
P000168,R000168,UPI,79.0,Success,0
P000169,R000169,UPI,26.24,Success,0
P000170,R000170,UPI,67.44,Success,5
P000171,R000171,Wallet,64.04,Success,0
P000172,R000172,UPI,72.04,Success,0
P000173,R000173,Card,50.44,Failed,0
P000174,R000174,UPI,33.94,Success,5
P000175,R000175,Card,57.16,Success,0
P000176,R000176,UPI,32.72,Success,0
P000177,R000177,Card,81.32,Success,0
P000178,R000178,UPI,96.2,Success,0
P000179,R000179,Card,67.16,Success,0
P000180,R000180,Card,347.32,Success,5
P000181,R000181,UPI,30.02,Success,0
P000182,R000182,Card,34.34,Success,0
P000183,R000183,Wallet,77.88,Success,0
P000184,R000184,Card,119.8,Success,0
P000185,R000185,UPI,105.36,Success,5
P000186,R000186,UPI,89.88,Success,0
P000187,R000187,UPI,83.4,Success,0
P000188,R000188,UPI,114.4,Success,0
P000189,R000189,Card,61.96,Success,0
P000190,R000190,UPI,88.72,Success,0
P000191,R000191,UPI,78.16,Success,0
P000192,R000192,UPI,107.14,Success,0
P000193,R000193,Wallet,75.04,Success,5
P000194,R000194,UPI,88.6,Success,0
P000195,R000195,UPI,87.68,Success,0
P000196,R000196,Card,62.44,Success,0
P000197,R000197,UPI,73.0,Success,0
P000198,R000198,UPI,147.28,Success,0
P000199,R000199,Card,64.48,Success,0
P000200,R000200,Cash,81.32,Failed,20
P000201,R000201,Cash,57.8,Success,20
P000202,R000202,Card,68.0,Success,5
P000203,R000203,Card,109.44,Success,5
P000204,R000204,UPI,39.92,Success,0
P000205,R000205,Card,72.52,Success,20
P000206,R000206,UPI,68.92,Success,0
P000207,R000207,Card,119.88,Success,0
P000208,R000208,Card,38.14,Success,5
P000209,R000209,UPI,126.56,Success,0
P000210,R000210,UPI,58.92,Success,0
P000211,R000211,Card,249.84,Success,0
P000212,R000212,Card,80.48,Success,0
P000213,R000213,UPI,219.12,Success,5
P000214,R000214,Cash,103.54,Success,5
P000215,R000215,UPI,65.36,Success,5
P000216,R000216,UPI,126.04,Success,0
P000217,R000217,UPI,224.08,Success,0
P000218,R000218,Card,73.48,Success,0
P000219,R000219,UPI,82.12,Success,10
P000220,R000220,Card,77.76,Failed,5
P000221,R000221,UPI,139.8,Success,10
P000222,R000222,Card,73.2,Success,5
P000223,R000223,UPI,35.8,Success,0
P000224,R000224,UPI,60.32,Success,0
P000225,R000225,Card,38.84,Success,0
P000226,R000226,UPI,114.48,Success,5
P000227,R000227,UPI,121.0,Success,20
P000228,R000228,UPI,53.24,Success,5
P000229,R000229,UPI,68.04,Success,0
P000230,R000230,UPI,77.64,Success,0
P000231,R000231,Wallet,39.92,Success,0
P000232,R000232,UPI,43.88,Success,0
P000233,R000233,Card,52.16,Success,0
P000234,R000234,UPI,68.92,Success,0
P000235,R000235,Cash,85.04,Success,10
P000236,R000236,UPI,63.16,Success,0
P000237,R000237,UPI,98.92,Success,0
P000238,R000238,UPI,66.4,Success,0
P000239,R000239,UPI,88.28,Success,0
P000240,R000240,UPI,52.84,Success,0
P000241,R000241,Card,62.64,Success,5
P000242,R000242,Cash,186.36,Success,10
P000243,R000243,Cash,95.84,Success,10
P000244,R000244,Wallet,96.04,Success,0
P000245,R000245,UPI,27.74,Failed,0
P000246,R000246,UPI,124.12,Success,0
P000247,R000247,UPI,103.96,Success,0
P000248,R000248,Card,39.14,Success,0
P000249,R000249,UPI,57.72,Success,0
P000250,R000250,Card,260.4,Success,10
P000251,R000251,UPI,51.88,Failed,0
P000252,R000252,UPI,82.36,Success,0
P000253,R000253,UPI,80.88,Pending,0
P000254,R000254,Wallet,112.88,Success,10
P000255,R000255,UPI,31.94,Success,0
P000256,R000256,Wallet,206.32,Success,0
P000257,R000257,UPI,74.32,Success,0
P000258,R000258,UPI,66.68,Success,0
P000259,R000259,UPI,54.12,Success,0
P000260,R000260,Card,76.04,Success,0
P000261,R000261,Cash,82.6,Success,5
P000262,R000262,UPI,90.84,Pending,0
P000263,R000263,UPI,109.98,Success,10
P000264,R000264,Card,65.0,Success,10
P000265,R000265,Card,239.8,Pending,0
P000266,R000266,UPI,64.36,Success,0
P000267,R000267,UPI,78.48,Success,5
P000268,R000268,UPI,71.48,Success,0
P000269,R000269,UPI,56.2,Success,0
P000270,R000270,Cash,38.66,Success,0
P000271,R000271,UPI,68.82,Success,0
P000272,R000272,UPI,67.96,Success,0
P000273,R000273,UPI,60.68,Success,0
P000274,R000274,Wallet,35.72,Success,0
P000275,R000275,Cash,63.76,Success,0
P000276,R000276,UPI,91.0,Success,0
P000277,R000277,Card,95.28,Success,20
P000278,R000278,Card,62.28,Success,0
P000279,R000279,UPI,61.96,Success,10
P000280,R000280,UPI,156.4,Success,0
P000281,R000281,UPI,350.8,Success,0
P000282,R000282,UPI,30.94,Success,5
P000283,R000283,UPI,62.92,Success,0
P000284,R000284,UPI,152.0,Success,0
P000285,R000285,Card,53.86,Success,20
P000286,R000286,Wallet,23.48,Success,0
P000287,R000287,UPI,182.44,Success,0
P000288,R000288,UPI,118.88,Success,5
P000289,R000289,UPI,52.4,Failed,0
P000290,R000290,Wallet,119.48,Success,0
P000291,R000291,UPI,192.88,Success,0
P000292,R000292,UPI,70.72,Success,0
P000293,R000293,Card,99.16,Success,0
P000294,R000294,UPI,68.48,Success,0
P000295,R000295,Card,70.36,Success,0
P000296,R000296,UPI,118.2,Success,5
P000297,R000297,UPI,61.84,Success,0
P000298,R000298,UPI,97.0,Success,0
P000299,R000299,UPI,67.32,Success,20
P000300,R000300,UPI,78.36,Success,0
P000301,R000301,UPI,166.16,Success,5
P000302,R000302,UPI,58.68,Success,0
P000303,R000303,UPI,66.64,Success,0
P000304,R000304,UPI,104.36,Success,10
P000305,R000305,Card,40.16,Success,5
P000306,R000306,Card,129.0,Success,5
P000307,R000307,Cash,176.88,Success,5
P000308,R000308,UPI,63.24,Failed,0
P000309,R000309,UPI,62.84,Success,0
P000310,R000310,UPI,70.44,Success,20
P000311,R000311,UPI,64.68,Success,0
P000312,R000312,Card,65.54,Success,0
P000313,R000313,UPI,44.92,Success,10
P000314,R000314,UPI,123.88,Success,0
P000315,R000315,UPI,79.56,Success,0
P000316,R000316,UPI,82.76,Success,0
P000317,R000317,UPI,45.2,Success,5
P000318,R000318,UPI,101.72,Success,0
P000319,R000319,Cash,68.02,Success,0
P000320,R000320,Card,119.16,Success,5
P000321,R000321,Wallet,106.96,Success,0
P000322,R000322,UPI,122.4,Success,5
P000323,R000323,Card,49.8,Failed,10
P000324,R000324,Card,128.36,Success,0
P000325,R000325,UPI,139.08,Success,5
P000326,R000326,Card,58.72,Success,0
P000327,R000327,Wallet,69.68,Success,10
P000328,R000328,Cash,106.92,Success,10
P000329,R000329,UPI,74.52,Success,5
P000330,R000330,UPI,88.48,Success,0
P000331,R000331,UPI,199.6,Success,0
P000332,R000332,Card,269.52,Success,20
P000333,R000333,Cash,49.6,Success,0
P000334,R000334,UPI,64.6,Success,0
P000335,R000335,UPI,173.68,Success,0
P000336,R000336,UPI,76.56,Success,5
P000337,R000337,Card,49.48,Success,0
P000338,R000338,Card,200.48,Success,0
P000339,R000339,Card,44.94,Success,10
P000340,R000340,UPI,58.96,Success,0
P000341,R000341,UPI,39.0,Success,0
P000342,R000342,UPI,159.32,Success,10
P000343,R000343,Card,119.04,Success,5
P000344,R000344,Card,48.28,Success,0
P000345,R000345,UPI,106.24,Success,0
P000346,R000346,Wallet,69.4,Success,0
P000347,R000347,UPI,61.48,Success,20
P000348,R000348,UPI,129.24,Success,0
P000349,R000349,UPI,120.34,Success,20
P000350,R000350,UPI,116.36,Success,0
P000351,R000351,UPI,39.12,Success,10
P000352,R000352,Cash,99.66,Success,10
P000353,R000353,UPI,59.4,Failed,10
P000354,R000354,UPI,59.52,Success,5
P000355,R000355,Card,115.36,Success,0
P000356,R000356,UPI,72.2,Success,0
P000357,R000357,Card,88.2,Success,5
P000358,R000358,Card,56.92,Success,0
P000359,R000359,Card,69.32,Failed,10
P000360,R000360,UPI,67.56,Success,5
P000361,R000361,UPI,75.7,Success,5
P000362,R000362,UPI,96.84,Success,0
P000363,R000363,Card,87.64,Success,0
P000364,R000364,Card,210.8,Success,10
P000365,R000365,Card,96.08,Success,0
P000366,R000366,Card,61.12,Success,0
P000367,R000367,UPI,75.64,Success,0
P000368,R000368,UPI,45.82,Success,5
P000369,R000369,UPI,43.4,Success,0
P000370,R000370,Card,72.6,Success,0
P000371,R000371,Card,55.18,Success,5
P000372,R000372,Card,46.04,Success,0
P000373,R000373,UPI,104.12,Success,5
P000374,R000374,UPI,142.0,Success,0
P000375,R000375,UPI,110.84,Success,0
P000376,R000376,UPI,124.32,Success,5
P000377,R000377,Card,87.82,Success,10
P000378,R000378,Card,110.8,Success,0
P000379,R000379,UPI,94.92,Success,20
P000380,R000380,UPI,155.72,Success,10
P000381,R000381,UPI,62.6,Success,0
P000382,R000382,UPI,145.32,Success,0
P000383,R000383,UPI,128.32,Success,0
P000384,R000384,Card,69.6,Success,5
P000385,R000385,Card,73.96,Success,0
P000386,R000386,Card,52.36,Success,0
P000387,R000387,Card,212.0,Success,10
P000388,R000388,UPI,57.24,Pending,0
P000389,R000389,Card,71.8,Success,20
P000390,R000390,UPI,40.68,Success,0
P000391,R000391,UPI,92.76,Pending,20
P000392,R000392,UPI,86.4,Success,5
P000393,R000393,Card,63.46,Success,5
P000394,R000394,UPI,57.96,Success,5
P000395,R000395,UPI,41.48,Success,10
P000396,R000396,UPI,55.24,Success,0
P000397,R000397,Card,57.56,Success,0
P000398,R000398,Card,106.36,Success,0
P000399,R000399,UPI,37.22,Success,0
P000400,R000400,UPI,94.84,Success,0
P000401,R000401,UPI,183.8,Success,0
P000402,R000402,UPI,43.86,Success,0
P000403,R000403,Card,76.04,Success,0
P000404,R000404,UPI,40.7,Success,0
P000405,R000405,Card,249.36,Success,5
P000406,R000406,UPI,75.36,Success,0
P000407,R000407,UPI,46.92,Success,0
P000408,R000408,UPI,81.2,Success,5
P000409,R000409,Cash,62.44,Success,0
P000410,R000410,Cash,90.02,Failed,5
P000411,R000411,Card,51.88,Success,0
P000412,R000412,UPI,58.76,Success,0
P000413,R000413,UPI,78.0,Success,5
P000414,R000414,Wallet,73.6,Success,0
P000415,R000415,UPI,74.88,Success,20
P000416,R000416,UPI,69.16,Failed,0
P000417,R000417,Card,71.2,Success,0
P000418,R000418,UPI,112.64,Success,0
P000419,R000419,UPI,84.7,Failed,20
P000420,R000420,UPI,137.92,Success,10
P000421,R000421,Card,32.86,Success,5
P000422,R000422,Card,169.6,Success,0
P000423,R000423,Card,109.92,Success,5
P000424,R000424,Card,78.24,Success,0
P000425,R000425,Card,248.52,Success,20
P000426,R000426,Wallet,32.72,Success,0
P000427,R000427,UPI,32.6,Success,0
P000428,R000428,Cash,84.76,Success,0
P000429,R000429,UPI,54.26,Success,0
P000430,R000430,UPI,181.24,Success,0
P000431,R000431,Card,40.12,Pending,0
P000432,R000432,UPI,106.84,Success,0
P000433,R000433,Card,68.6,Success,0
P000434,R000434,UPI,115.78,Failed,20
P000435,R000435,Card,50.6,Success,0
P000436,R000436,UPI,84.32,Success,10
P000437,R000437,UPI,53.8,Success,0
P000438,R000438,UPI,82.64,Success,0
P000439,R000439,Cash,127.92,Success,20
P000440,R000440,UPI,37.64,Success,0
P000441,R000441,UPI,58.64,Success,5
P000442,R000442,UPI,93.08,Success,0
P000443,R000443,UPI,123.76,Success,5
P000444,R000444,Cash,50.12,Success,0
P000445,R000445,UPI,192.4,Success,0
P000446,R000446,UPI,130.96,Success,5
P000447,R000447,UPI,114.2,Success,0
P000448,R000448,Card,63.3,Success,10
P000449,R000449,UPI,53.0,Success,0
P000450,R000450,UPI,69.14,Success,0
P000451,R000451,UPI,58.68,Success,5
P000452,R000452,UPI,79.24,Success,0
P000453,R000453,UPI,51.88,Success,0
P000454,R000454,Cash,51.28,Success,0
P000455,R000455,Card,65.96,Success,0
P000456,R000456,Cash,116.76,Success,20
P000457,R000457,UPI,68.28,Success,0
P000458,R000458,Card,121.8,Success,20
P000459,R000459,UPI,146.32,Success,0
P000460,R000460,Cash,59.72,Success,0
P000461,R000461,Cash,58.88,Success,0
P000462,R000462,Card,74.16,Success,5
P000463,R000463,UPI,38.68,Success,0
P000464,R000464,Card,38.16,Success,5
P000465,R000465,Card,113.84,Success,10
P000466,R000466,UPI,111.16,Success,0
P000467,R000467,UPI,42.98,Success,5
P000468,R000468,Card,58.6,Success,0
P000469,R000469,UPI,86.44,Success,5
P000470,R000470,Card,88.22,Success,0
P000471,R000471,UPI,40.62,Pending,0
P000472,R000472,UPI,114.92,Success,10
P000473,R000473,UPI,79.44,Success,5
P000474,R000474,Cash,91.08,Success,5
P000475,R000475,Card,50.68,Success,0
P000476,R000476,Card,62.8,Success,5
P000477,R000477,UPI,124.0,Success,0
P000478,R000478,Card,73.24,Success,0
P000479,R000479,Card,90.52,Success,0
P000480,R000480,UPI,33.24,Success,0
P000481,R000481,UPI,74.14,Success,0
P000482,R000482,UPI,69.44,Success,10
P000483,R000483,UPI,38.6,Success,0
P000484,R000484,UPI,51.24,Success,0
P000485,R000485,UPI,92.92,Success,5
P000486,R000486,UPI,37.48,Success,0
P000487,R000487,UPI,88.72,Success,0
P000488,R000488,Wallet,138.8,Success,10
P000489,R000489,UPI,75.96,Success,0
P000490,R000490,UPI,41.92,Success,5
P000491,R000491,Cash,66.44,Success,0
P000492,R000492,UPI,141.12,Success,5
P000493,R000493,UPI,149.12,Success,0
P000494,R000494,UPI,122.28,Success,0
P000495,R000495,Card,223.16,Success,0
P000496,R000496,UPI,128.16,Success,5
P000497,R000497,Cash,85.72,Success,0
P000498,R000498,Card,114.28,Success,0
P000499,R000499,Card,33.48,Success,0
P000500,R000500,Wallet,50.12,Failed,0
P000501,R000501,UPI,117.4,Success,20
P000502,R000502,UPI,72.96,Success,5
P000503,R000503,UPI,102.04,Success,0
P000504,R000504,Card,102.36,Success,10
P000505,R000505,Wallet,125.68,Success,0
P000506,R000506,Card,143.68,Success,0
P000507,R000507,Card,79.96,Success,0
P000508,R000508,UPI,66.36,Success,0
P000509,R000509,UPI,130.66,Success,10
P000510,R000510,UPI,102.52,Success,0
P000511,R000511,Card,93.32,Success,5
P000512,R000512,Wallet,246.84,Success,0
P000513,R000513,UPI,51.88,Failed,0
P000514,R000514,Cash,95.92,Success,0
P000515,R000515,Cash,80.12,Success,0
P000516,R000516,Card,54.28,Success,20
P000517,R000517,Wallet,62.84,Success,20
P000518,R000518,UPI,49.64,Success,0
P000519,R000519,Cash,45.24,Success,0
P000520,R000520,UPI,60.64,Success,0
P000521,R000521,Cash,132.12,Success,0
P000522,R000522,UPI,183.32,Success,0
P000523,R000523,Card,42.8,Success,0
P000524,R000524,UPI,148.72,Success,0
P000525,R000525,UPI,41.44,Success,5
P000526,R000526,UPI,36.68,Success,0
P000527,R000527,UPI,132.16,Success,5
P000528,R000528,UPI,163.6,Success,0
P000529,R000529,Cash,39.4,Success,0
P000530,R000530,UPI,63.86,Success,0
P000531,R000531,UPI,96.6,Success,20
P000532,R000532,Wallet,44.28,Success,0
P000533,R000533,UPI,64.0,Success,0
P000534,R000534,Cash,78.64,Success,0
P000535,R000535,Card,61.96,Success,0
P000536,R000536,Wallet,63.64,Success,0
P000537,R000537,UPI,42.42,Success,0
P000538,R000538,Card,39.96,Success,0
P000539,R000539,UPI,89.44,Success,0
P000540,R000540,UPI,133.92,Success,5
P000541,R000541,Card,57.72,Success,5
P000542,R000542,Cash,32.36,Success,0
P000543,R000543,UPI,70.24,Success,0
P000544,R000544,UPI,43.64,Success,0
P000545,R000545,UPI,95.4,Success,10
P000546,R000546,UPI,89.44,Success,0
P000547,R000547,Card,93.28,Success,0
P000548,R000548,UPI,74.9,Success,0
P000549,R000549,UPI,92.52,Success,5
P000550,R000550,UPI,83.92,Success,0
P000551,R000551,Card,79.12,Success,0
P000552,R000552,UPI,36.52,Success,0
P000553,R000553,UPI,134.2,Success,10
P000554,R000554,Card,77.92,Success,5
P000555,R000555,Cash,89.96,Success,10
P000556,R000556,Cash,85.92,Success,20
P000557,R000557,Cash,73.64,Success,0
P000558,R000558,UPI,41.32,Success,0
P000559,R000559,UPI,97.16,Success,10
P000560,R000560,Wallet,35.48,Success,0
P000561,R000561,Wallet,52.48,Success,0
P000562,R000562,UPI,42.5,Success,0
P000563,R000563,Card,90.2,Success,10
P000564,R000564,UPI,157.48,Success,0
P000565,R000565,UPI,40.28,Success,0
P000566,R000566,Cash,53.74,Success,5
P000567,R000567,UPI,70.34,Success,0
P000568,R000568,UPI,92.92,Success,0
P000569,R000569,UPI,68.04,Success,20
P000570,R000570,UPI,75.14,Success,0
P000571,R000571,UPI,173.44,Success,0
P000572,R000572,UPI,26.66,Success,0
P000573,R000573,UPI,173.32,Success,0
P000574,R000574,Card,79.88,Success,0
P000575,R000575,Card,56.2,Success,0
P000576,R000576,UPI,79.56,Success,0
P000577,R000577,UPI,55.76,Success,0
P000578,R000578,UPI,90.32,Success,5
P000579,R000579,Card,91.26,Success,0
P000580,R000580,UPI,124.6,Success,0
P000581,R000581,UPI,63.52,Success,20
P000582,R000582,Card,66.68,Success,0
P000583,R000583,Card,62.0,Success,0
P000584,R000584,UPI,71.3,Success,0
P000585,R000585,Cash,88.44,Success,10
P000586,R000586,Cash,108.28,Success,0
P000587,R000587,UPI,70.44,Success,5
P000588,R000588,UPI,102.88,Success,0
P000589,R000589,UPI,40.52,Success,0
P000590,R000590,Card,25.64,Success,0
P000591,R000591,UPI,71.96,Success,20
P000592,R000592,UPI,121.84,Success,0
P000593,R000593,UPI,52.72,Success,0
P000594,R000594,Card,139.6,Success,0
P000595,R000595,Card,111.96,Success,0
P000596,R000596,UPI,72.08,Success,5
P000597,R000597,UPI,160.46,Success,5
P000598,R000598,UPI,56.56,Success,0
P000599,R000599,Card,99.0,Success,0
P000600,R000600,Wallet,26.48,Pending,0
P000601,R000601,Wallet,136.24,Failed,0
P000602,R000602,Card,62.12,Success,0
P000603,R000603,Card,72.48,Failed,5
P000604,R000604,Card,46.28,Success,0
P000605,R000605,UPI,85.72,Success,0
P000606,R000606,UPI,52.8,Success,5
P000607,R000607,Wallet,91.36,Success,0
P000608,R000608,Wallet,120.72,Success,5
P000609,R000609,UPI,57.88,Success,0
P000610,R000610,Card,114.6,Success,20
P000611,R000611,Card,119.56,Success,0
P000612,R000612,UPI,86.64,Success,5
P000613,R000613,UPI,73.48,Success,0
P000614,R000614,UPI,50.68,Success,20
P000615,R000615,UPI,75.64,Success,0
P000616,R000616,UPI,47.88,Success,0
P000617,R000617,UPI,174.52,Success,0
P000618,R000618,UPI,39.5,Success,0
P000619,R000619,Cash,38.92,Success,0
P000620,R000620,Card,50.2,Success,0
P000621,R000621,Card,87.0,Success,5
P000622,R000622,Card,157.04,Success,0
P000623,R000623,UPI,92.04,Success,5
P000624,R000624,Card,113.78,Success,0
P000625,R000625,Card,78.92,Success,10
P000626,R000626,UPI,86.4,Failed,0
P000627,R000627,Card,170.44,Success,5
P000628,R000628,Card,88.16,Success,10
P000629,R000629,UPI,34.04,Success,0
P000630,R000630,UPI,80.68,Failed,10
P000631,R000631,UPI,135.16,Success,0
P000632,R000632,UPI,73.04,Success,10
P000633,R000633,Card,87.4,Success,0
P000634,R000634,UPI,74.04,Success,20
P000635,R000635,UPI,52.28,Success,0
P000636,R000636,UPI,142.24,Success,0
P000637,R000637,Card,97.6,Success,0
P000638,R000638,UPI,145.4,Success,0
P000639,R000639,UPI,67.24,Success,0
P000640,R000640,UPI,123.6,Success,5
P000641,R000641,UPI,55.36,Success,5
P000642,R000642,UPI,36.32,Success,5
P000643,R000643,Card,70.56,Success,20
P000644,R000644,UPI,33.44,Success,0
P000645,R000645,Card,106.56,Success,20
P000646,R000646,Cash,68.14,Success,0
P000647,R000647,UPI,63.88,Success,10
P000648,R000648,Cash,111.88,Success,10
P000649,R000649,UPI,133.0,Success,0
P000650,R000650,UPI,84.96,Success,0
P000651,R000651,Cash,104.36,Success,0
P000652,R000652,UPI,60.52,Success,0
P000653,R000653,Card,27.44,Success,0
P000654,R000654,UPI,37.22,Success,0
P000655,R000655,UPI,35.16,Success,0
P000656,R000656,Card,135.72,Success,10
P000657,R000657,UPI,23.54,Success,0
P000658,R000658,UPI,67.24,Success,0
P000659,R000659,UPI,117.12,Success,10
P000660,R000660,Card,85.36,Success,0
P000661,R000661,UPI,75.6,Success,5
P000662,R000662,UPI,65.36,Success,0
P000663,R000663,Cash,80.92,Success,0
P000664,R000664,Cash,97.88,Success,0
P000665,R000665,UPI,38.88,Success,10
P000666,R000666,UPI,83.38,Success,10
P000667,R000667,UPI,61.92,Success,5
P000668,R000668,UPI,96.96,Success,5
P000669,R000669,Card,197.84,Failed,0
