ride_id,driver_id,customer_id,vehicle_id,start_time,end_time,distance_km,fare_amount,payment_id,rating,city
R000054,D0154,C00940,V0064,2025-06-19 08:35:00,2025-06-19 08:52:00,2.38,68.56,P000054,4.9,Hyderabad
R000055,D0004,C00674,V0096,2025-05-09 19:46:00,2025-05-09 20:04:00,4.56,94.72,P000055,4.8,Pune
R000056,D0246,C01612,V0079,2024-05-24 22:44:00,2024-05-24 23:14:00,4.45,60.6,P000056,4.8,Mumbai
R000057,D0116,C00360,V0057,2024-01-19 12:37:00,2024-01-19 12:56:00,3.41,52.28,P000057,4.1,Bangalore
R000058,D0083,C00177,V0149,2025-06-23 01:16:00,2025-06-23 01:33:00,2.5,80.0,P000058,4.5,Hyderabad
R000059,D0270,C00023,V0127,2024-06-23 01:18:00,2024-06-23 01:27:00,1.91,62.92,P000059,5.0,Bangalore
R000060,D0126,C00133,V0290,2024-07-24 22:39:00,2024-07-24 22:45:00,2.28,43.24,P000060,4.4,Delhi
R000061,D0079,C01703,V0087,2024-10-04 01:29:00,2024-10-04 01:46:00,4.48,93.76,P000061,5.0,Hyderabad
R000062,D0099,C01175,V0260,2024-01-09 02:24:00,2024-01-09 02:36:00,1.0,33.0,P000062,4.1,Bangalore
R000063,D0118,C01043,V0253,2024-10-04 21:54:00,2024-10-04 22:13:00,5.01,50.06,P000063,4.1,Kolkata
R000064,D0273,C01783,V0261,2025-01-03 03:01:00,2025-01-03 03:38:00,8.23,90.84,P000064,5.0,Chennai
R000065,D0283,C00518,V0090,2024-10-26 20:24:00,2024-10-26 20:48:00,4.85,98.2,P000065,4.4,Delhi
R000066,D0215,C01128,V0188,2024-08-24 12:32:00,2024-08-24 12:47:00,1.86,39.88,P000066,4.2,Mumbai
R000067,D0008,C01953,V0203,2024-04-11 10:31:00,2024-04-11 11:05:00,10.72,104.32,P000067,4.7,Chennai
R000068,D0207,C00417,V0110,2025-06-28 02:11:00,2025-06-28 02:30:00,5.32,103.84,P000068,4.5,Pune
R000069,D0137,C00983,V0259,2024-07-22 16:29:00,2024-07-22 17:09:00,9.28,151.36,P000069,4.3,Bangalore
R000070,D0072,C00024,V0184,2025-07-28 22:01:00,2025-07-28 22:13:00,1.5,68.0,P000070,4.9,Mumbai
R000071,D0018,C00635,V0057,2024-02-10 07:59:00,2024-02-10 08:29:00,7.68,96.44,P000071,4.0,Hyderabad
R000072,D0047,C00943,V0054,2025-06-26 09:21:00,2025-06-26 09:46:00,5.42,105.04,P000072,4.2,Chennai
R000073,D0047,C00832,V0054,2025-05-16 12:47:00,2025-05-16 13:12:00,4.42,93.04,P000073,4.8,Chennai
R000074,D0079,C00844,V0087,2024-06-09 00:22:00,2024-06-09 00:38:00,4.71,96.52,P000074,4.3,Hyderabad
R000075,D0088,C00835,V0200,2024-12-26 11:40:00,2024-12-26 12:00:00,3.78,85.36,P000075,5.0,Mumbai
R000076,D0118,C01637,V0253,2024-11-05 07:32:00,2024-11-05 08:04:00,5.8,74.8,P000076,3.9,Kolkata
R000077,D0169,C00518,V0019,2024-10-09 01:40:00,2024-10-09 02:05:00,6.41,126.92,P000077,4.7,Pune
R000078,D0162,C00343,V0020,2024-09-20 12:56:00,2024-09-20 13:44:00,13.76,205.12,P000078,5.0,Mumbai
R000079,D0067,C01390,V0199,2024-01-31 17:17:00,2024-01-31 17:28:00,1.23,54.76,P000079,3.8,Mumbai
R000080,D0245,C01473,V0172,2024-08-18 04:21:00,2024-08-18 04:50:00,5.95,111.4,P000080,4.5,Bangalore
R000081,D0291,C01763,V0051,2025-02-06 21:08:00,2025-02-06 21:21:00,3.02,76.24,P000081,5.0,Bangalore
R000082,D0202,C00552,V0043,2024-03-30 23:24:00,2024-03-30 23:50:00,6.17,57.02,P000082,4.7,Hyderabad
R000083,D0022,C01052,V0284,2025-06-17 21:39:00,2025-06-17 21:56:00,1.94,63.28,P000083,4.7,Bangalore
R000084,D0143,C00975,V0084,2024-08-20 13:15:00,2024-08-20 13:28:00,1.48,57.76,P000084,5.0,Chennai
R000085,D0193,C00609,V0157,2025-08-09 04:27:00,2025-08-09 04:39:00,1.14,26.84,P000085,5.0,Hyderabad
R000086,D0121,C00374,V0192,2024-11-15 19:21:00,2024-11-15 19:38:00,5.96,55.76,P000086,4.5,Kolkata
R000087,D0165,C00003,V0010,2025-04-04 17:08:00,2025-04-04 17:15:00,3.56,82.72,P000087,4.7,Delhi
R000088,D0119,C01681,V0044,2024-07-30 20:08:00,2024-07-30 20:28:00,2.03,64.36,P000088,4.8,Bangalore
R000089,D0193,C01694,V0157,2025-08-17 17:43:00,2025-08-17 18:05:00,2.41,34.46,P000089,5.0,Hyderabad
R000090,D0017,C00179,V0170,2024-07-26 04:19:00,2024-07-26 04:41:00,5.43,52.58,P000090,5.0,Mumbai
R000091,D0147,C01398,V0153,2025-06-20 04:27:00,2025-06-20 04:44:00,2.38,34.28,P000091,4.5,Ahmedabad
R000092,D0230,C00436,V0052,2024-05-28 20:59:00,2024-05-28 21:34:00,10.03,160.36,P000092,4.6,Chennai
R000093,D0104,C01447,V0290,2025-08-01 05:20:00,2025-08-01 06:07:00,13.44,132.52,P000093,5.0,Ahmedabad
R000094,D0244,C00828,V0244,2024-03-10 17:34:00,2024-03-10 17:53:00,2.41,68.92,P000094,5.0,Bangalore
R000095,D0002,C01533,V0119,2024-05-01 05:20:00,2024-05-01 05:23:00,1.9,31.4,P000095,4.6,Delhi
R000096,D0120,C00368,V0214,2024-05-29 23:01:00,2024-05-29 23:17:00,4.23,45.38,P000096,4.9,Chennai
R000097,D0231,C01485,V0107,2024-11-22 13:26:00,2024-11-22 13:59:00,5.92,111.04,P000097,4.6,Kolkata
R000098,D0116,C01779,V0057,2024-11-06 14:47:00,2024-11-06 15:03:00,1.52,37.16,P000098,4.9,Bangalore
R000099,D0223,C01715,V0299,2024-10-07 04:49:00,2024-10-07 05:03:00,1.73,60.76,P000099,5.0,Hyderabad
R000100,D0124,C01062,V0088,2024-07-11 03:08:00,2024-07-11 03:56:00,13.9,136.2,P000100,4.8,Hyderabad
R000101,D0038,C00282,V0099,2024-07-08 00:48:00,2024-07-08 00:56:00,3.91,43.46,P000101,4.5,Bangalore
R000102,D0227,C01453,V0128,2024-09-30 19:36:00,2024-09-30 19:53:00,0.99,32.92,P000102,3.9,Bangalore
R000103,D0244,C01283,V0244,2024-08-24 19:14:00,2024-08-24 19:22:00,1.31,65.72,P000103,4.8,Bangalore
R000104,D0076,C00413,V0230,2024-08-24 21:01:00,2024-08-24 21:23:00,4.05,98.6,P000104,4.5,Bangalore
R000105,D0228,C01901,V0124,2025-01-02 02:44:00,2025-01-02 03:20:00,7.9,134.8,P000105,4.3,Pune
R000106,D0193,C00431,V0157,2025-05-03 04:32:00,2025-05-03 04:47:00,1.71,30.26,P000106,4.1,Hyderabad
R000107,D0109,C01291,V0152,2025-04-25 22:41:00,2025-04-25 23:04:00,4.76,63.08,P000107,4.3,Delhi
R000108,D0158,C01533,V0266,2025-01-17 05:54:00,2025-01-17 06:05:00,3.11,77.32,P000108,4.3,Chennai
R000109,D0210,C00852,V0295,2025-01-31 15:30:00,2025-01-31 16:03:00,7.51,130.12,P000109,4.1,Chennai
R000110,D0290,C01409,V0102,2024-05-20 05:12:00,2024-05-20 05:38:00,7.46,84.68,P000110,4.3,Delhi
R000111,D0228,C00166,V0124,2024-08-19 01:26:00,2024-08-19 01:41:00,2.02,64.24,P000111,4.8,Pune
R000112,D0044,C01255,V0170,2024-01-16 08:26:00,2024-01-16 08:40:00,2.63,35.78,P000112,4.8,Ahmedabad
R000113,D0188,C00558,V0074,2024-08-15 23:42:00,2024-08-15 23:57:00,5.15,111.8,P000113,5.0,Kolkata
R000114,D0119,C01940,V0044,2024-07-26 06:04:00,2024-07-26 06:21:00,3.73,84.76,P000114,4.7,Bangalore
R000115,D0078,C00806,V0047,2024-06-30 14:55:00,2024-06-30 15:26:00,10.32,117.56,P000115,4.1,Bangalore
R000116,D0265,C00529,V0120,2025-05-16 22:20:00,2025-05-16 22:36:00,2.98,48.84,P000116,4.6,Bangalore
R000117,D0294,C01799,V0133,2025-04-13 07:27:00,2025-04-13 07:50:00,5.16,60.96,P000117,4.8,Bangalore
R000118,D0079,C01618,V0087,2025-02-18 01:38:00,2025-02-18 02:12:00,7.81,133.72,P000118,4.8,Hyderabad
R000119,D0119,C00779,V0044,2025-01-24 23:20:00,2025-01-24 23:46:00,3.21,78.52,P000119,4.5,Bangalore
R000120,D0163,C00572,V0286,2025-02-07 19:47:00,2025-02-07 20:18:00,3.7,42.2,P000120,5.0,Chennai
R000121,D0160,C00530,V0102,2025-08-08 19:34:00,2025-08-08 20:07:00,9.13,98.04,P000121,4.8,Chennai
R000122,D0062,C01284,V0241,2025-06-21 20:56:00,2025-06-21 21:20:00,3.9,106.8,P000122,4.1,Hyderabad
R000123,D0133,C01667,V0080,2024-02-09 16:06:00,2024-02-09 16:44:00,12.12,121.96,P000123,4.4,Pune
R000124,D0076,C00802,V0230,2025-04-07 14:52:00,2025-04-07 15:11:00,2.71,72.52,P000124,5.0,Bangalore
R000125,D0256,C01035,V0211,2024-02-13 07:33:00,2024-02-13 07:50:00,2.53,35.18,P000125,4.7,Chennai
R000126,D0185,C01072,V0053,2025-07-04 12:47:00,2025-07-04 13:10:00,5.39,68.12,P000126,5.0,Chennai
R000127,D0223,C01857,V0299,2024-02-10 17:24:00,2024-02-10 17:40:00,4.38,92.56,P000127,4.1,Hyderabad
R000128,D0172,C01552,V0198,2025-06-12 20:03:00,2025-06-12 20:15:00,2.91,84.92,P000128,4.8,Kolkata
R000129,D0225,C01159,V0106,2024-07-13 09:28:00,2024-07-13 09:45:00,3.09,69.72,P000129,4.4,Kolkata
R000130,D0120,C01650,V0214,2025-02-11 09:49:00,2025-02-11 10:26:00,6.9,61.4,P000130,3.7,Chennai
R000131,D0064,C01616,V0296,2024-10-19 14:10:00,2024-10-19 14:29:00,3.09,38.54,P000131,5.0,Chennai
R000132,D0132,C00210,V0058,2025-03-08 09:39:00,2025-03-08 09:47:00,2.41,54.46,P000132,4.3,Chennai
R000133,D0259,C01921,V0239,2024-02-25 22:33:00,2024-02-25 22:51:00,3.15,97.8,P000133,4.8,Mumbai
R000134,D0137,C00382,V0259,2024-05-25 14:53:00,2024-05-25 14:58:00,1.11,63.32,P000134,4.0,Bangalore
R000135,D0015,C01776,V0216,2025-04-07 02:46:00,2025-04-07 03:00:00,3.5,53.0,P000135,3.9,Delhi
R000136,D0097,C01172,V0288,2025-05-27 03:11:00,2025-05-27 03:34:00,3.42,40.52,P000136,4.7,Mumbai
R000137,D0248,C01380,V0124,2025-08-22 22:34:00,2025-08-22 22:48:00,1.12,53.44,P000137,4.9,Kolkata
R000138,D0159,C01201,V0080,2024-05-18 12:26:00,2024-05-18 12:41:00,1.59,37.72,P000138,4.9,Bangalore
R000139,D0104,C01325,V0290,2024-11-27 14:01:00,2024-11-27 14:56:00,17.99,178.92,P000139,4.6,Ahmedabad
R000140,D0004,C00308,V0096,2024-07-02 14:37:00,2024-07-02 14:56:00,5.24,102.88,P000140,4.6,Pune
R000141,D0012,C01508,V0075,2024-07-25 14:05:00,2024-07-25 14:18:00,2.28,43.24,P000141,4.6,Delhi
R000142,D0047,C00492,V0054,2024-09-13 10:44:00,2024-09-13 11:09:00,5.21,122.52,P000142,4.6,Chennai
R000143,D0197,C00292,V0172,2024-06-16 22:46:00,2024-06-16 23:39:00,16.63,239.56,P000143,5.0,Pune
R000144,D0070,C00825,V0283,2024-05-06 02:07:00,2024-05-06 02:13:00,1.84,62.08,P000144,4.6,Kolkata
R000145,D0208,C00468,V0024,2025-04-05 20:23:00,2025-04-05 20:54:00,8.59,143.08,P000145,5.0,Hyderabad
R000146,D0146,C00538,V0269,2024-03-28 16:45:00,2024-03-28 17:07:00,2.54,70.48,P000146,4.0,Kolkata
R000147,D0043,C01154,V0284,2025-01-28 23:50:00,2025-01-29 00:10:00,2.64,81.68,P000147,4.5,Hyderabad
R000148,D0124,C00200,V0088,2025-06-07 19:10:00,2025-06-07 19:33:00,3.28,51.24,P000148,5.0,Hyderabad
R000149,D0093,C01578,V0255,2025-01-22 17:24:00,2025-01-22 17:40:00,3.28,89.36,P000149,4.4,Ahmedabad
R000150,D0242,C01497,V0221,2024-02-14 05:58:00,2024-02-14 06:15:00,1.33,55.96,P000150,4.4,Ahmedabad
R000151,D0218,C00566,V0221,2024-12-09 18:55:00,2024-12-09 19:28:00,6.84,122.08,P000151,5.0,Bangalore
R000152,D0148,C01022,V0095,2024-06-02 05:55:00,2024-06-02 06:08:00,1.19,27.14,P000152,4.8,Delhi
R000153,D0050,C01421,V0033,2024-05-28 05:49:00,2024-05-28 06:27:00,10.09,161.08,P000153,4.9,Kolkata
R000154,D0110,C00718,V0289,2024-02-22 13:19:00,2024-02-22 13:43:00,7.06,124.72,P000154,4.3,Hyderabad
R000155,D0196,C01065,V0174,2024-11-12 23:49:00,2024-11-13 00:08:00,4.6,95.2,P000155,5.0,Pune
R000156,D0040,C01615,V0294,2025-04-01 09:40:00,2025-04-01 10:03:00,3.27,79.24,P000156,4.7,Bangalore
R000157,D0221,C01545,V0220,2024-07-04 03:57:00,2024-07-04 04:00:00,1.2,27.2,P000157,4.3,Delhi
R000158,D0183,C01435,V0231,2024-05-14 06:00:00,2024-05-14 06:15:00,1.79,40.74,P000158,4.8,Bangalore
R000159,D0113,C00741,V0134,2024-09-16 00:29:00,2024-09-16 01:59:00,28.82,385.84,P000159,4.6,Ahmedabad
R000160,D0203,C01364,V0233,2025-05-24 15:34:00,2025-05-24 16:50:00,22.97,315.64,P000160,4.0,Pune
R000161,D0119,C01962,V0044,2024-01-06 19:56:00,2024-01-06 20:08:00,2.47,69.64,P000161,4.4,Bangalore
R000162,D0170,C01318,V0132,2025-05-20 07:13:00,2025-05-20 07:25:00,1.44,57.28,P000162,4.0,Ahmedabad
R000163,D0032,C01666,V0015,2025-05-02 14:26:00,2025-05-02 15:18:00,16.26,155.08,P000163,5.0,Bangalore
R000164,D0003,C01810,V0159,2025-03-28 02:38:00,2025-03-28 03:02:00,2.71,72.52,P000164,4.4,Delhi
R000165,D0036,C00246,V0002,2024-01-07 07:56:00,2024-01-07 08:29:00,6.65,119.8,P000165,4.6,Chennai
R000166,D0265,C01867,V0120,2025-07-14 08:39:00,2025-07-14 08:55:00,2.97,48.76,P000166,4.1,Bangalore
R000167,D0067,C00936,V0199,2025-07-24 06:03:00,2025-07-24 06:16:00,1.81,61.72,P000167,4.9,Mumbai
R000168,D0198,C01619,V0010,2024-07-08 04:03:00,2024-07-08 04:22:00,3.25,79.0,P000168,4.8,Hyderabad
R000169,D0250,C00654,V0028,2024-12-23 01:09:00,2024-12-23 01:12:00,1.04,26.24,P000169,4.0,Chennai
R000170,D0184,C00295,V0077,2024-02-03 21:36:00,2024-02-03 21:47:00,1.87,62.44,P000170,4.9,Hyderabad
R000171,D0195,C00206,V0247,2024-11-01 10:58:00,2024-11-01 11:14:00,4.88,64.04,P000171,4.5,Ahmedabad
R000172,D0004,C01472,V0096,2024-03-30 01:06:00,2024-03-30 01:09:00,2.67,72.04,P000172,4.4,Pune
R000173,D0076,C00765,V0230,2025-03-02 05:10:00,2025-03-02 05:15:00,0.87,50.44,P000173,4.4,Bangalore
R000174,D0122,C01561,V0273,2024-10-18 19:42:00,2024-10-18 19:51:00,1.49,28.94,P000174,5.0,Pune
R000175,D0068,C01808,V0258,2025-08-09 17:11:00,2025-08-09 17:33:00,4.02,57.16,P000175,3.8,Ahmedabad
R000176,D0163,C00763,V0286,2025-04-11 23:37:00,2025-04-11 23:54:00,2.12,32.72,P000176,4.4,Chennai
R000177,D0246,C00012,V0079,2025-01-03 01:05:00,2025-01-03 01:28:00,4.54,81.32,P000177,4.5,Mumbai
R000178,D0234,C01821,V0158,2024-11-02 10:23:00,2024-11-02 10:59:00,8.9,96.2,P000178,4.2,Delhi
R000179,D0066,C00638,V0234,2025-01-23 02:48:00,2025-01-23 03:00:00,1.43,67.16,P000179,4.0,Ahmedabad
R000180,D0274,C01972,V0024,2025-03-13 17:04:00,2025-03-13 18:13:00,24.36,342.32,P000180,4.6,Kolkata
R000181,D0100,C01765,V0116,2024-10-26 15:08:00,2024-10-26 15:18:00,1.67,30.02,P000181,4.8,Kolkata
R000182,D0256,C01343,V0211,2024-05-04 22:55:00,2024-05-04 23:03:00,2.39,34.34,P000182,4.0,Chennai
R000183,D0005,C01815,V0047,2024-10-08 10:33:00,2024-10-08 11:04:00,5.36,77.88,P000183,4.1,Pune
R000184,D0291,C01414,V0051,2025-02-27 16:13:00,2025-02-27 16:45:00,6.65,119.8,P000184,4.0,Bangalore
R000185,D0223,C01274,V0299,2024-08-02 19:03:00,2024-08-02 19:27:00,5.03,100.36,P000185,4.6,Hyderabad
R000186,D0263,C01727,V0248,2024-04-21 18:46:00,2024-04-21 19:16:00,8.11,89.88,P000186,4.7,Kolkata
R000187,D0053,C00462,V0112,2025-06-25 02:30:00,2025-06-25 02:48:00,1.95,83.4,P000187,4.7,Bangalore
R000188,D0042,C00030,V0291,2024-10-21 13:38:00,2024-10-21 14:09:00,6.2,114.4,P000188,4.2,Bangalore
R000189,D0275,C01654,V0051,2024-11-20 08:33:00,2024-11-20 08:48:00,1.83,61.96,P000189,4.3,Ahmedabad
R000190,D0196,C00834,V0174,2025-08-11 19:22:00,2025-08-11 19:43:00,4.06,88.72,P000190,4.1,Pune
R000191,D0141,C01410,V0240,2024-05-12 19:36:00,2024-05-12 19:58:00,3.18,78.16,P000191,3.6,Ahmedabad
R000192,D0026,C00847,V0066,2025-05-23 16:46:00,2025-05-23 17:23:00,11.19,107.14,P000192,4.2,Hyderabad
R000193,D0151,C00318,V0270,2025-05-24 15:51:00,2025-05-24 16:19:00,5.63,70.04,P000193,4.9,Pune
R000194,D0011,C01778,V0218,2024-07-03 19:14:00,2024-07-03 19:34:00,4.05,88.6,P000194,4.5,Bangalore
R000195,D0118,C00630,V0253,2024-10-24 06:00:00,2024-10-24 06:47:00,11.28,87.68,P000195,4.5,Kolkata
R000196,D0199,C00826,V0282,2024-05-01 00:29:00,2024-05-01 00:46:00,1.87,62.44,P000196,5.0,Chennai
R000197,D0277,C00609,V0084,2024-04-30 23:54:00,2024-05-01 00:11:00,2.75,73.0,P000197,4.1,Bangalore
R000198,D0034,C00318,V0254,2024-07-31 19:26:00,2024-07-31 19:56:00,8.94,147.28,P000198,4.6,Delhi
R000199,D0252,C00417,V0093,2025-02-27 01:21:00,2025-02-27 01:40:00,2.04,64.48,P000199,4.6,Delhi
R000200,D0219,C01798,V0063,2024-12-24 17:51:00,2024-12-24 18:18:00,4.54,61.32,P000200,4.7,Ahmedabad
R000201,D0095,C00046,V0047,2024-08-05 00:40:00,2024-08-05 00:49:00,1.6,37.8,P000201,3.6,Ahmedabad
R000202,D0078,C01435,V0047,2024-07-25 22:18:00,2024-07-25 22:36:00,2.25,63.0,P000202,4.0,Bangalore
R000203,D0079,C01842,V0087,2024-09-17 02:19:00,2024-09-17 02:47:00,5.37,104.44,P000203,4.8,Hyderabad
R000204,D0202,C00038,V0043,2024-11-03 16:35:00,2024-11-03 16:43:00,3.32,39.92,P000204,4.6,Hyderabad
R000205,D0287,C01828,V0078,2024-11-27 00:07:00,2024-11-27 00:40:00,5.42,52.52,P000205,4.3,Hyderabad
R000206,D0106,C00926,V0090,2024-12-07 10:25:00,2024-12-07 10:50:00,2.41,68.92,P000206,4.1,Kolkata
R000207,D0191,C01259,V0050,2025-08-05 19:01:00,2025-08-05 19:38:00,10.61,119.88,P000207,4.8,Bangalore
R000208,D0121,C00283,V0192,2024-06-28 06:21:00,2024-06-28 06:35:00,2.19,33.14,P000208,5.0,Kolkata
R000209,D0281,C00067,V0294,2024-12-12 21:30:00,2024-12-12 21:49:00,6.38,126.56,P000209,4.5,Delhi
R000210,D0095,C01239,V0047,2025-04-30 01:41:00,2025-04-30 01:53:00,4.24,58.92,P000210,4.0,Ahmedabad
R000211,D0228,C00840,V0124,2024-05-19 15:09:00,2024-05-19 15:56:00,15.82,249.84,P000211,4.0,Pune
R000212,D0019,C01619,V0250,2025-04-16 17:57:00,2025-04-16 18:16:00,2.54,80.48,P000212,4.5,Chennai
R000213,D0180,C00568,V0172,2024-12-09 14:50:00,2024-12-09 15:40:00,14.51,214.12,P000213,4.0,Pune
R000214,D0147,C00915,V0153,2025-02-27 23:03:00,2025-02-27 23:47:00,13.09,98.54,P000214,4.9,Ahmedabad
R000215,D0273,C01001,V0261,2025-06-17 09:36:00,2025-06-17 09:56:00,3.17,60.36,P000215,4.6,Chennai
R000216,D0264,C01852,V0097,2024-11-19 17:34:00,2024-11-19 18:10:00,7.17,126.04,P000216,4.6,Mumbai
R000217,D0020,C01147,V0227,2024-01-20 06:36:00,2024-01-20 07:27:00,15.34,224.08,P000217,4.4,Hyderabad
